,date,primary_sales
0,2021-07-28,62
1,2021-07-27,177
2,2021-07-26,121
3,2021-07-25,79
4,2021-07-24,55
5,2021-07-23,64
6,2021-07-22,54
7,2021-07-21,48
8,2021-07-20,55
9,2021-07-19,45
10,2021-07-18,44
11,2021-07-17,33
12,2021-07-16,28
13,2021-07-15,36
14,2021-07-14,40
15,2021-07-13,68
16,2021-07-12,37
17,2021-07-11,48
18,2021-07-10,52
19,2021-07-09,49
20,2021-07-08,58
21,2021-07-07,87
22,2021-07-06,76
23,2021-07-05,71
24,2021-07-04,47
25,2021-07-03,64
26,2021-07-02,68
27,2021-07-01,83
28,2021-06-30,73
29,2021-06-29,63
30,2021-06-28,44
31,2021-06-27,42
32,2021-06-26,36
33,2021-06-25,18
34,2021-06-24,40
35,2021-06-23,52
36,2021-06-22,24
37,2021-06-21,21
38,2021-06-20,13
39,2021-06-19,13
40,2021-06-18,19
41,2021-06-17,20
42,2021-06-16,30
43,2021-06-15,44
44,2021-06-14,67
45,2021-06-13,38
46,2021-06-12,45
47,2021-06-11,33
48,2021-06-10,29
49,2021-06-09,42
50,2021-06-08,52
51,2021-06-07,65
52,2021-06-06,52
53,2021-06-05,75
54,2021-06-04,65
55,2021-06-03,67
56,2021-06-02,95
57,2021-06-01,81
58,2021-05-31,68
59,2021-05-30,64
60,2021-05-29,76
61,2021-05-28,42
62,2021-05-27,60
63,2021-05-26,48
64,2021-05-25,53
65,2021-05-24,58
66,2021-05-23,47
67,2021-05-22,61
68,2021-05-21,43
69,2021-05-20,57
70,2021-05-19,54
71,2021-05-18,50
72,2021-05-17,63
73,2021-05-16,56
74,2021-05-15,39
75,2021-05-14,42
76,2021-05-13,42
77,2021-05-12,52
78,2021-05-11,51
79,2021-05-10,64
80,2021-05-09,38
81,2021-05-08,45
82,2021-05-07,39
83,2021-05-06,40
84,2021-05-05,48
85,2021-05-04,12
86,2021-05-03,13
87,2021-05-02,20
88,2021-05-01,21
89,2021-04-30,15
90,2021-04-29,16
91,2021-04-28,21
92,2021-04-27,23
93,2021-04-26,20
94,2021-04-25,23
95,2021-04-24,21
96,2021-04-23,26
97,2021-04-22,6
98,2021-04-21,13
99,2021-04-20,79
100,2021-04-19,361
101,2021-04-18,446
102,2021-04-17,308
103,2021-04-16,279
104,2021-04-15,302
105,2021-04-14,317
106,2021-04-13,295
107,2021-04-12,312
108,2021-04-11,439
109,2021-04-10,294
110,2021-04-09,262
111,2021-04-08,314
112,2021-04-07,391
113,2021-04-06,341
114,2021-04-05,309
115,2021-04-04,192
116,2021-04-03,214
117,2021-04-02,201
118,2021-04-01,212
119,2021-03-31,279
120,2021-03-30,269
121,2021-03-29,317
122,2021-03-28,361
123,2021-03-27,370
124,2021-03-26,379
125,2021-03-25,374
126,2021-03-24,328
127,2021-03-23,287
128,2021-03-22,364
129,2021-03-21,497
130,2021-03-20,338
131,2021-03-19,334
132,2021-03-18,366
133,2021-03-17,386
134,2021-03-16,419
135,2021-03-15,505
136,2021-03-14,581
137,2021-03-13,493
138,2021-03-12,398
139,2021-03-11,334
140,2021-03-10,395
141,2021-03-09,378
142,2021-03-08,384
143,2021-03-07,463
144,2021-03-06,407
145,2021-03-05,343
146,2021-03-04,260
147,2021-03-03,308
148,2021-03-02,310
149,2021-03-01,485
150,2021-02-28,628
151,2021-02-27,488
152,2021-02-26,293
153,2021-02-25,246
154,2021-02-24,225
155,2021-02-23,237
156,2021-02-22,314
157,2021-02-21,386
158,2021-02-20,320
159,2021-02-19,249
160,2021-02-18,211
161,2021-02-17,202
162,2021-02-16,222
163,2021-02-15,246
164,2021-02-14,196
165,2021-02-13,204
166,2021-02-12,203
167,2021-02-11,229
168,2021-02-10,306
169,2021-02-09,330
170,2021-02-08,338
171,2021-02-07,326
172,2021-02-06,290
173,2021-02-05,301
174,2021-02-04,301
175,2021-02-03,400
176,2021-02-02,446
177,2021-02-01,544
178,2021-01-31,554
179,2021-01-30,499
180,2021-01-29,398
181,2021-01-28,437
182,2021-01-27,552
183,2021-01-26,486
184,2021-01-25,458
185,2021-01-24,450
186,2021-01-23,324
187,2021-01-22,217
188,2021-01-21,175
189,2021-01-20,166
190,2021-01-19,219
191,2021-01-18,273
192,2021-01-17,261
193,2021-01-16,244
194,2021-01-15,282
195,2021-01-14,221
196,2021-01-13,316
197,2021-01-12,287
198,2021-01-11,283
199,2021-01-10,382
200,2021-01-09,386
201,2021-01-08,289
202,2021-01-07,321
203,2021-01-06,322
204,2021-01-05,290
205,2021-01-04,325
206,2021-01-03,837
207,2021-01-02,836
208,2021-01-01,612
