,date,upsells
0,2021-07-28,33
1,2021-07-27,241
2,2021-07-26,198
3,2021-07-25,47
4,2021-07-24,43
5,2021-07-23,114
6,2021-07-22,30
7,2021-07-21,32
8,2021-07-20,37
9,2021-07-19,41
10,2021-07-18,21
11,2021-07-17,24
12,2021-07-16,21
13,2021-07-15,20
14,2021-07-14,27
15,2021-07-13,49
16,2021-07-12,23
17,2021-07-11,28
18,2021-07-10,29
19,2021-07-09,36
20,2021-07-08,35
21,2021-07-07,54
22,2021-07-06,33
23,2021-07-05,37
24,2021-07-04,24
25,2021-07-03,46
26,2021-07-02,31
27,2021-07-01,45
28,2021-06-30,32
29,2021-06-29,50
30,2021-06-28,27
31,2021-06-27,21
32,2021-06-26,16
33,2021-06-25,13
34,2021-06-24,25
35,2021-06-23,36
36,2021-06-22,13
37,2021-06-21,19
38,2021-06-20,12
39,2021-06-19,9
40,2021-06-18,9
41,2021-06-17,11
42,2021-06-16,17
43,2021-06-15,29
44,2021-06-14,46
45,2021-06-13,31
46,2021-06-12,32
47,2021-06-11,18
48,2021-06-10,13
49,2021-06-09,17
50,2021-06-08,38
51,2021-06-07,37
52,2021-06-06,31
53,2021-06-05,57
54,2021-06-04,33
55,2021-06-03,55
56,2021-06-02,49
57,2021-06-01,53
58,2021-05-31,35
59,2021-05-30,43
60,2021-05-29,36
61,2021-05-28,29
62,2021-05-27,38
63,2021-05-26,25
64,2021-05-25,28
65,2021-05-24,48
66,2021-05-23,30
67,2021-05-22,40
68,2021-05-21,29
69,2021-05-20,29
70,2021-05-19,35
71,2021-05-18,31
72,2021-05-17,52
73,2021-05-16,40
74,2021-05-15,26
75,2021-05-14,15
76,2021-05-13,25
77,2021-05-12,40
78,2021-05-11,26
79,2021-05-10,37
80,2021-05-09,24
81,2021-05-08,24
82,2021-05-07,23
83,2021-05-06,16
84,2021-05-05,18
85,2021-05-04,12
86,2021-05-03,4
87,2021-05-02,6
88,2021-05-01,3
89,2021-04-30,6
90,2021-04-29,9
91,2021-04-28,11
92,2021-04-27,9
93,2021-04-26,22
94,2021-04-25,15
95,2021-04-24,14
96,2021-04-23,6
97,2021-04-22,1
98,2021-04-21,2
99,2021-04-20,34
100,2021-04-19,124
101,2021-04-18,154
102,2021-04-17,101
103,2021-04-16,93
104,2021-04-15,100
105,2021-04-14,134
106,2021-04-13,118
107,2021-04-12,109
108,2021-04-11,187
109,2021-04-10,91
110,2021-04-09,116
111,2021-04-08,90
112,2021-04-07,124
113,2021-04-06,123
114,2021-04-05,103
115,2021-04-04,98
116,2021-04-03,55
117,2021-04-02,73
118,2021-04-01,62
119,2021-03-31,86
120,2021-03-30,76
121,2021-03-29,117
122,2021-03-28,131
123,2021-03-27,122
124,2021-03-26,153
125,2021-03-25,134
126,2021-03-24,128
127,2021-03-23,129
128,2021-03-22,155
129,2021-03-21,155
130,2021-03-20,125
131,2021-03-19,136
132,2021-03-18,59
133,2021-03-17,154
134,2021-03-16,160
135,2021-03-15,184
136,2021-03-14,217
137,2021-03-13,156
138,2021-03-12,131
139,2021-03-11,130
140,2021-03-10,135
141,2021-03-09,148
142,2021-03-08,127
143,2021-03-07,175
144,2021-03-06,156
145,2021-03-05,112
146,2021-03-04,79
147,2021-03-03,89
148,2021-03-02,84
149,2021-03-01,146
150,2021-02-28,222
151,2021-02-27,200
152,2021-02-26,119
153,2021-02-25,105
154,2021-02-24,66
155,2021-02-23,79
156,2021-02-22,76
157,2021-02-21,122
158,2021-02-20,103
159,2021-02-19,55
160,2021-02-18,41
161,2021-02-17,50
162,2021-02-16,81
163,2021-02-15,78
164,2021-02-14,68
165,2021-02-13,87
166,2021-02-12,78
167,2021-02-11,60
168,2021-02-10,98
169,2021-02-09,81
170,2021-02-08,105
171,2021-02-07,75
172,2021-02-06,81
173,2021-02-05,88
174,2021-02-04,83
175,2021-02-03,107
176,2021-02-02,104
177,2021-02-01,175
178,2021-01-31,159
179,2021-01-30,140
180,2021-01-29,99
181,2021-01-28,113
182,2021-01-27,177
183,2021-01-26,139
184,2021-01-25,139
185,2021-01-24,134
186,2021-01-23,101
187,2021-01-22,67
188,2021-01-21,58
189,2021-01-20,33
190,2021-01-19,57
191,2021-01-18,72
192,2021-01-17,90
193,2021-01-16,74
194,2021-01-15,99
195,2021-01-14,84
196,2021-01-13,89
197,2021-01-12,95
198,2021-01-11,95
199,2021-01-10,163
200,2021-01-09,114
201,2021-01-08,94
202,2021-01-07,121
203,2021-01-06,158
204,2021-01-05,111
205,2021-01-04,121
206,2021-01-03,313
207,2021-01-02,347
208,2021-01-01,269
